,serial_with_season,movie,serial_without_season
5170,0,5332,0
5171,0,5252,0
5172,0,207964,0
5278,0,11813,0
5280,0,651,0
5281,0,4965,0
5284,0,31,0
5285,0,3015,0
5287,0,6075,0
5289,0,63,0
5290,0,5228,0
5291,0,11019,0
5293,0,2233,0
5294,0,1188,0
5295,0,2915,0
5296,0,5,0
5297,0,2,0
5298,0,3357,0
5300,0,1144,0
5301,0,54832,0
5313,44826,16538,0
5335,0,4787,0
5338,0,15265,46
5343,0,5611,0
5344,0,7064,0
5346,0,5492,0
5348,0,5917,0
5350,0,7723,0
5352,0,2683,0
5354,0,107167,0
5381,0,3546,0
5382,68,708,0
5384,0,13,0
5385,20,0,0
5386,0,203,0
5387,0,2349,0
5389,0,3797,0
5396,0,95,0
5397,0,31921,0
5414,0,9603,0
5418,0,13074,0
5423,1112,49053,0
5443,0,5788,0
5445,0,12697,0
5447,0,1537,0
5449,0,75,0
5451,0,896,0
5453,0,5793,0
5455,1797,21723,0
5462,0,948,0
5463,3825,2754,0
5473,0,737,0
5475,0,94995,0
5492,3112,55684,0
5517,0,4160,0
5519,8,0,0
5520,4,0,0
5521,0,10099,0
5524,990,325,0
5529,0,270,0
5531,0,80,0
5534,0,101,0
5535,0,29878,0
5544,0,787,0
5546,0,28,0
5547,0,43,0
5548,48986,99111,0
5733,0,470,9362
5737,0,11676,0
5740,0,60123,0
5755,0,424,0
5756,0,4471,0
5759,0,1460,0
5762,0,2693,0
5763,0,6951,0
5764,4995,27205,0
5779,0,11784,0
5784,0,1592,0
5786,0,137,0
5787,0,141,0
5788,0,404,0
5790,0,5006,0
5791,0,52,0
5792,0,9916,0
5795,0,75698,0
5811,0,10950,0
5813,10,0,0
5814,0,3553,0
5815,966,0,0
5816,1290,0,0
5818,0,28706,0
5827,663,39,0
5830,0,554,0
5831,0,475,0
5832,0,1377,0
5834,0,561,0
5835,15,336,0
5838,0,4,0
5839,0,12995,0
5842,0,454,0
5843,23072,11368,0
5864,0,51244,0
5879,10,0,0
5880,0,35038,0
5890,0,10037,0
5892,0,86,0
5893,1916,20033,0
5904,276,0,0
5906,0,277,0
5908,2850,10413,0
5912,0,37453,0
5926,0,6051,0
5928,0,5075,0
5929,2099,78,0
5938,380734,126599,0
6115,0,1013,0
6117,36274,26569,0
6140,0,5246,0
6141,11104,4100,0
6150,244916,505,0
6239,0,90,0
6241,0,6,0
6242,0,8060,0
6246,36,242,0
6248,0,3690,0
6249,0,4059,0
6250,0,1,0
6251,0,29,0
6252,0,4348,0
6253,2148,5547,0
6262,0,1938,0
6264,0,4324,0
6265,0,53,0
6266,0,12,0
6267,0,18591,0
6273,0,1793,0
6278,0,196,0
6279,2907,20422,0
6286,0,2589,0
6288,0,10194,0
6295,0,50,0
6296,951,3701,0
6304,1480,11869,0
6309,2715,0,0
6312,263,0,0
6313,0,15974,0
6318,0,18692,0
6322,0,77,0
6323,0,4067,0
6324,0,2243,0
6326,21931,2732,0
6339,0,1334,0
6340,0,1516,0
6341,0,20329,0
6346,0,38977,0
6355,0,9546,0
6358,0,16,0
6360,0,9,0
6361,0,1422,0
6362,1746,1980,0
6369,0,230,0
6370,0,81,0
6371,0,155,0
6373,0,705,0
6374,0,5499,0
6376,0,970,0
6377,0,11,0
6378,13921,11677,0
6418,0,69543,0
6432,0,30,0
6433,196,21106,0
6442,0,5821,0
6443,0,2516,0
6444,0,6781,0
6445,0,71,0
6446,0,34,0
6447,0,7,0
6448,0,19391,0
6451,0,878,0
6452,0,10286,0
6454,7701,0,0
6457,0,581,0
6458,0,17280,0
6461,0,1409,0
6464,0,5215,0
6466,1,0,0
6467,129,15236,0
6478,0,31486,0
6488,0,10443,0
6490,0,1,0
6492,0,834,0
6493,0,749,0
6494,131340,750,0
6555,0,1091,0
6556,0,2,0
6557,0,676,0
6559,0,6,0
6560,0,13969,0
6565,0,33036,0
6575,0,9712,0
6579,0,36943,0
6601,62513,151,0
6628,327,0,0
6629,0,7744,0
6630,69,97,0
6632,0,6231,0
6633,5699,28351,0
6644,7440,0,0
6654,0,462,0
6656,9,0,0
6657,0,6488,0
6659,0,1532,0
6660,57478,9588,0
6686,0,7,0
6687,0,16808,0
6693,0,5273,0
6694,36,28,0
6698,0,2403,0
6699,0,5606,0
6700,13515,0,0
6713,0,12,0
6714,4595,102243,0
6754,0,5125,0
6755,0,14957,0
6759,0,651,0
6760,11538,17556,0
6782,0,5065,0
6784,0,4143,0
6785,0,7249,0
6787,430,6324,0
6792,1608,3994,0
6798,0,9,0
6799,2919,2290,0
6801,0,17271,0
6807,0,75626,0
6829,0,32285,0
6836,0,63284,0
6854,0,5270,0
6859,0,10731,0
6864,0,110001,0
6903,0,6262,0
6907,0,13061,0
6910,9139,0,0
6931,0,6245,0
6934,0,31551,0
6940,0,6812,0
6943,0,9,0
6944,0,23296,0
6948,403,26850,0
6962,0,12137,0
6972,0,553,0
6974,0,10882,0
6978,6536,4465,0
6990,0,10062,0
6992,14997,0,0
6999,0,1731,0
7001,0,8264,0
7003,0,31703,0
7016,2871,2430,0
7028,0,7742,0
7029,0,10123,0
7031,0,4083,0
7035,0,9263,0
7037,0,1443,0
7042,0,2109,0
7048,0,83415,0
7074,0,830,0
7077,7391,328,0
7082,0,38037,0
7104,0,334,0
7106,0,10191,0
7110,0,38121,0
7118,0,5129,0
7119,0,2944,0
7121,2365,60773,0
7161,0,18198,0
7167,0,102095,0
7193,0,4537,0
7194,553,19,0
7196,13066,0,0
7202,0,106,0
7203,2592,273574,0
7274,0,8534,0
7276,0,184567,0
7342,0,6099,0
7343,41,65265,0
7369,4245,10653,0
7375,0,4,0
7376,531,67765,0
7398,0,2818,0
7400,0,44382,0
7419,0,2,0
7420,270,0,0
7421,0,5402,0
7424,1200,0,0
7428,0,19488,0
7431,62788,222247,0
7690,0,283411,0
